,Price,Location,Bedroom,Bathroom,Floor_area,Time
589,"$270,000"," BKK 1, Chamkarmon, Phnom Penh", 2, 2,N/A,2 weeks ago
590,"$1,318,438","Dabest Properties, Tonle Bassac, Chamkarmon, Phnom Penh", 4, 3, 323m²,2 weeks ago
591,"$148,000"," BKK 1, Chamkarmon, Phnom Penh", 2, 2, 64m²,2 weeks ago
592,"$170,000","Chamkarmon, Phnom Penh", 2, 2, 48m²,2 weeks ago
593,"$330,000"," BKK 1, Chamkarmon, Phnom Penh",N/A,N/A, 68m²,2 weeks ago
594,"$170,000"," BKK 1, Chamkarmon, Phnom Penh", 1, 1,N/A,2 weeks ago
595,"$99,999"," Veal Vong, 7 Makara, Phnom Penh", 1, 1, 53m²,2 weeks ago
596,"$132,110","Properties Dabest, Nirouth, Chbar Ampov, Phnom Penh", 2, 1, 74m²,2 weeks ago
597,"$114,000","Dabest Properties, Nirouth, Chbar Ampov, Phnom Penh", 1, 1, 65m²,2 weeks ago
598,"$40,000"," Boeung Kak 1, Toul Kork, Phnom Penh",N/A,N/A,N/A,2 weeks ago
599,"$160,848"," BKK 1, Chamkarmon, Phnom Penh", 2, 1,N/A,2 weeks ago
600,"$160,000"," Chak Angrae Leu, Meanchey, Phnom Penh", 2, 2, 90m²,2 weeks ago
601,"$200,000"," Chak Angrae Leu, Meanchey, Phnom Penh", 3, 3, 110m²,2 weeks ago
602,"$115,000"," Chak Angrae Leu, Meanchey, Phnom Penh", 2, 2, 85m²,2 weeks ago
603,"$185,000"," Chak Angrae Leu, Meanchey, Phnom Penh", 3, 2, 120m²,2 weeks ago
604,"$80,000"," Chak Angrae Leu, Meanchey, Phnom Penh", 1, 1, 51m²,2 weeks ago
605,"$135,000"," Chak Angrae Leu, Meanchey, Phnom Penh", 2, 2, 95m²,2 weeks ago
606,"$85,000"," Tonle Bassac, Chamkarmon, Phnom Penh", 1, 1, 50m²,2 weeks ago
607,"$225,000"," Veal Vong, 7 Makara, Phnom Penh", 2, 2, 103m²,2 weeks ago
608,"$98,000"," BKK 1, Chamkarmon, Phnom Penh", 2, 1, 3000m²,2 weeks ago
609,"$270,000"," BKK 1, Chamkarmon, Phnom Penh", 2, 2,N/A,2 weeks ago
610,"$1,318,438","Dabest Properties, Tonle Bassac, Chamkarmon, Phnom Penh", 4, 3, 323m²,2 weeks ago
611,"$148,000"," BKK 1, Chamkarmon, Phnom Penh", 2, 2, 64m²,2 weeks ago
612,"$170,000","Chamkarmon, Phnom Penh", 2, 2, 48m²,2 weeks ago
613,"$330,000"," BKK 1, Chamkarmon, Phnom Penh",N/A,N/A, 68m²,2 weeks ago
614,"$170,000"," BKK 1, Chamkarmon, Phnom Penh", 1, 1,N/A,2 weeks ago
615,"$99,999"," Veal Vong, 7 Makara, Phnom Penh", 1, 1, 53m²,2 weeks ago
616,"$132,110","Properties Dabest, Nirouth, Chbar Ampov, Phnom Penh", 2, 1, 74m²,2 weeks ago
617,"$114,000","Dabest Properties, Nirouth, Chbar Ampov, Phnom Penh", 1, 1, 65m²,2 weeks ago
618,"$40,000"," Boeung Kak 1, Toul Kork, Phnom Penh",N/A,N/A,N/A,2 weeks ago
619,"$160,848"," BKK 1, Chamkarmon, Phnom Penh", 2, 1,N/A,2 weeks ago
620,"$160,000"," Chak Angrae Leu, Meanchey, Phnom Penh", 2, 2, 90m²,2 weeks ago
621,"$200,000"," Chak Angrae Leu, Meanchey, Phnom Penh", 3, 3, 110m²,2 weeks ago
622,"$115,000"," Chak Angrae Leu, Meanchey, Phnom Penh", 2, 2, 85m²,2 weeks ago
623,"$185,000"," Chak Angrae Leu, Meanchey, Phnom Penh", 3, 2, 120m²,2 weeks ago
624,"$80,000"," Chak Angrae Leu, Meanchey, Phnom Penh", 1, 1, 51m²,2 weeks ago
625,"$135,000"," Chak Angrae Leu, Meanchey, Phnom Penh", 2, 2, 95m²,2 weeks ago
626,"$85,000"," Tonle Bassac, Chamkarmon, Phnom Penh", 1, 1, 50m²,2 weeks ago
627,"$225,000"," Veal Vong, 7 Makara, Phnom Penh", 2, 2, 103m²,2 weeks ago
628,"$98,000"," BKK 1, Chamkarmon, Phnom Penh", 2, 1, 3000m²,2 weeks ago
629,"$270,000"," BKK 1, Chamkarmon, Phnom Penh", 2, 2,N/A,2 weeks ago
630,"$1,318,438","Dabest Properties, Tonle Bassac, Chamkarmon, Phnom Penh", 4, 3, 323m²,2 weeks ago
631,"$148,000"," BKK 1, Chamkarmon, Phnom Penh", 2, 2, 64m²,2 weeks ago
632,"$170,000","Chamkarmon, Phnom Penh", 2, 2, 48m²,2 weeks ago
633,"$330,000"," BKK 1, Chamkarmon, Phnom Penh",N/A,N/A, 68m²,2 weeks ago
634,"$170,000"," BKK 1, Chamkarmon, Phnom Penh", 1, 1,N/A,2 weeks ago
635,"$99,999"," Veal Vong, 7 Makara, Phnom Penh", 1, 1, 53m²,2 weeks ago
636,"$132,110","Properties Dabest, Nirouth, Chbar Ampov, Phnom Penh", 2, 1, 74m²,2 weeks ago
637,"$114,000","Dabest Properties, Nirouth, Chbar Ampov, Phnom Penh", 1, 1, 65m²,2 weeks ago
638,"$40,000"," Boeung Kak 1, Toul Kork, Phnom Penh",N/A,N/A,N/A,2 weeks ago
639,"$160,848"," BKK 1, Chamkarmon, Phnom Penh", 2, 1,N/A,2 weeks ago
640,"$160,000"," Chak Angrae Leu, Meanchey, Phnom Penh", 2, 2, 90m²,2 weeks ago
641,"$200,000"," Chak Angrae Leu, Meanchey, Phnom Penh", 3, 3, 110m²,2 weeks ago
642,"$115,000"," Chak Angrae Leu, Meanchey, Phnom Penh", 2, 2, 85m²,2 weeks ago
643,"$185,000"," Chak Angrae Leu, Meanchey, Phnom Penh", 3, 2, 120m²,2 weeks ago
644,"$80,000"," Chak Angrae Leu, Meanchey, Phnom Penh", 1, 1, 51m²,2 weeks ago
645,"$135,000"," Chak Angrae Leu, Meanchey, Phnom Penh", 2, 2, 95m²,2 weeks ago
646,"$85,000"," Tonle Bassac, Chamkarmon, Phnom Penh", 1, 1, 50m²,2 weeks ago
647,"$225,000"," Veal Vong, 7 Makara, Phnom Penh", 2, 2, 103m²,2 weeks ago
648,"$98,000"," BKK 1, Chamkarmon, Phnom Penh", 2, 1, 3000m²,2 weeks ago
649,"$270,000"," BKK 1, Chamkarmon, Phnom Penh", 2, 2,N/A,2 weeks ago
650,"$1,318,438","Dabest Properties, Tonle Bassac, Chamkarmon, Phnom Penh", 4, 3, 323m²,2 weeks ago
651,"$148,000"," BKK 1, Chamkarmon, Phnom Penh", 2, 2, 64m²,2 weeks ago
652,"$170,000","Chamkarmon, Phnom Penh", 2, 2, 48m²,2 weeks ago
653,"$330,000"," BKK 1, Chamkarmon, Phnom Penh",N/A,N/A, 68m²,2 weeks ago
654,"$170,000"," BKK 1, Chamkarmon, Phnom Penh", 1, 1,N/A,2 weeks ago
655,"$99,999"," Veal Vong, 7 Makara, Phnom Penh", 1, 1, 53m²,2 weeks ago
656,"$132,110","Properties Dabest, Nirouth, Chbar Ampov, Phnom Penh", 2, 1, 74m²,2 weeks ago
657,"$114,000","Dabest Properties, Nirouth, Chbar Ampov, Phnom Penh", 1, 1, 65m²,2 weeks ago
658,"$40,000"," Boeung Kak 1, Toul Kork, Phnom Penh",N/A,N/A,N/A,2 weeks ago
659,"$160,848"," BKK 1, Chamkarmon, Phnom Penh", 2, 1,N/A,2 weeks ago
660,"$160,000"," Chak Angrae Leu, Meanchey, Phnom Penh", 2, 2, 90m²,2 weeks ago
661,"$200,000"," Chak Angrae Leu, Meanchey, Phnom Penh", 3, 3, 110m²,2 weeks ago
662,"$115,000"," Chak Angrae Leu, Meanchey, Phnom Penh", 2, 2, 85m²,2 weeks ago
663,"$185,000"," Chak Angrae Leu, Meanchey, Phnom Penh", 3, 2, 120m²,2 weeks ago
664,"$80,000"," Chak Angrae Leu, Meanchey, Phnom Penh", 1, 1, 51m²,2 weeks ago
665,"$135,000"," Chak Angrae Leu, Meanchey, Phnom Penh", 2, 2, 95m²,2 weeks ago
666,"$85,000"," Tonle Bassac, Chamkarmon, Phnom Penh", 1, 1, 50m²,2 weeks ago
667,"$225,000"," Veal Vong, 7 Makara, Phnom Penh", 2, 2, 103m²,2 weeks ago
668,"$98,000"," BKK 1, Chamkarmon, Phnom Penh", 2, 1, 3000m²,2 weeks ago
669,"$270,000"," BKK 1, Chamkarmon, Phnom Penh", 2, 2,N/A,2 weeks ago
670,"$1,318,438","Dabest Properties, Tonle Bassac, Chamkarmon, Phnom Penh", 4, 3, 323m²,2 weeks ago
671,"$148,000"," BKK 1, Chamkarmon, Phnom Penh", 2, 2, 64m²,2 weeks ago
672,"$170,000","Chamkarmon, Phnom Penh", 2, 2, 48m²,2 weeks ago
