Type,Price,Location,Bedrooms,Bathrooms
Type,Price,Location,Bedrooms,Bathrooms
Villa,"$1,590,000",Borey Morgan Champs-Élysées,7,7
Twin Villa,"$650,000",Borey Morgan Champs-Élysées,6,6
Shophouse,"$1,630,000",Borey Morgan Champs-Élysées,3,3
Twin Villa,"$480,000",Borey Morgan Champs-Élysées,5,5
Shophouse,"$560,000",Borey Morgan Champs-Élysées,4,4
Shophouse,"$270,000"," Preaek Aeng, Chbar Ampov, Phnom Penh",4,4
Link House,"$265,000","Phnom Penh Thmey, Sen Sok, Phnom Penh",4,4
House,"$165,000"," Kamboul, Por Sen Chey, Phnom Penh",2,2
Villa,"$850,000","Tuol Sangke, Russey Keo, Phnom Penh",7,7
House,"$380,000","313 313, Boeung Kak 2, Toul Kork, Phnom Penh",1,1
Borey,," Street 20A, Tien, Dangkao, Phnom Penh",6,6
Shophouse,"$295,000"," Khmuonh, Sen Sok, Phnom Penh",4,4
House,"$560,000","Chaom Chau, Por Sen Chey, Phnom Penh",8,8
House,"$260,000","Preaek Lieb, Chroy Changvar, Phnom Penh",5,5
House,"$210,000","Boeung Tumpun 2, Meanchey, Phnom Penh",4,4
Twin Villa,"$335,000","Cheung Aek, Dangkao, Phnom Penh",4,4
House,"$355,000","Chrang Chamres I, Russey Keo, Phnom Penh",4,4
House,"$195,000","Russey Keo, Russey Keo, Phnom Penh",4,4
House,"$930,000","Nirouth, Chbar Ampov, Phnom Penh",4,4
House,"$85,000","Chaom Chau 2, Por Sen Chey, Phnom Penh",4,4
Villa,"$1,300/m²","Chroy Changvar, Chroy Changvar, Phnom Penh",4,4
House,"$550,000","Boeung Tumpun, Meanchey, Phnom Penh",3,3
Villa,"$250,000","Bak Kaeng, Chroy Changvar, Phnom Penh",3,3
House,"$800,000","Wat Phnom, Daun Penh, Phnom Penh",5,5
House,"$262,000","Khmuonh, Sen Sok, Phnom Penh",4,4
House,"$190,000","Chak Angrae Kraom, Meanchey, Phnom Penh",5,5
House,"$250,000","Phnom Penh Thmey, Sen Sok, Phnom Penh",5,5
House,"$55,000","Chaom Chau, Por Sen Chey, Phnom Penh",2,2
House,"$78,000","Dangkao, Dangkao, Phnom Penh",4,4
Twin Villa,"$255,000","Preaek Ta Sek, Chroy Changvar, Phnom Penh",4,4
House,"$495,000","Phsar Thmei II, Daun Penh, Phnom Penh",4,4
House,"$147,000","Nirouth, Chbar Ampov, Phnom Penh",4,4
House,"$76,500","Kamboul, Por Sen Chey, Phnom Penh",4,4
House,"$85,000","Por Sen Chey, Phnom Penh",2,2
House,"$290,000","Boeung Salang, Toul Kork, Phnom Penh",6,6
House,"$165,000","Boeung Salang, Toul Kork, Phnom Penh",2,2
House,"$99,800","Kamboul, Por Sen Chey, Phnom Penh",4,4
House,"$200,000","Chaom Chau, Por Sen Chey, Phnom Penh",4,4
House,"$70,000","Dangkao, Dangkao, Phnom Penh",3,3
House,"$200,000","Chakto Mukh, Daun Penh, Phnom Penh",2,2
Shophouse,"$186,000","Boeung Kak 2, Toul Kork, Phnom Penh",1,1
House,"$249,000","Stueng Mean chey, Meanchey, Phnom Penh",4,4
House,"$285,000","Tuek L'ak 3, Toul Kork, Phnom Penh",4,4
House,"$56,000","Phnom Penh, Phnom Penh",4,4
Villa,"$210,000"," Chrang Chamres I, Russey Keo, Phnom Penh",4,4
House,"$480,000","Boeung Tumpun, Meanchey, Phnom Penh",1,1
House,"$115,000","Preaek Kampues, Dangkao, Phnom Penh",4,4
House,"$670,000","Ou Baek K'am, Sen Sok, Phnom Penh",6,6
Twin Villa,"$380,000","Nirouth, Chbar Ampov, Phnom Penh",4,4
House,"$76,877","Prey Sa, Dangkao, Phnom Penh",2,2
House,"$380,000","Chrang Chamres 2, Russey Keo, Phnom Penh",4,4
House,"$85,000","Phsar Chas, Daun Penh, Phnom Penh",1,1
Twin Villa,"$245,000","Veal Sbov, Chbar Ampov, Phnom Penh",4,4
House,"$140,000","Boeung Tumpun, Meanchey, Phnom Penh",4,4
House,"$800,000","Chey Chumneah, Daun Penh, Phnom Penh",2,2
Villa,"$290,000","Preaek Aeng, Chbar Ampov, Phnom Penh",4,4
House,"$180,000","Kouk Roka, Prek Pnov, Phnom Penh",4,4
House,"$230,000","Nirouth, Chbar Ampov, Phnom Penh",4,4
House,"$55,000","Kamboul, Por Sen Chey, Phnom Penh",²,²
Villa,"$980,000","Toul Kork, Phnom Penh",²,²
House,"$1,500,000","Tuek Thla, Sen Sok, Phnom Penh",²,²
Shophouse,"$175,000","Boeung Kak 1, Toul Kork, Phnom Penh",²,²
House,"$750,000","Preaek Pra, Chbar Ampov, Phnom Penh",²,²
Villa,"$600,000","Toul Kork, Phnom Penh",²,²
House,"$105,000","Dangkao, Phnom Penh",²,²
Link House,"$148,000","Nirouth, Chbar Ampov, Phnom Penh",²,²
Link House,"$193,000","Chrang Chamres 2, Russey Keo, Phnom Penh",²,²
Link House,"$69,000","Chaom Chau, Por Sen Chey, Phnom Penh",²,²
Villa,"$195,000","Preaek Aeng, Chbar Ampov, Phnom Penh",²,²
Twin Villa,"$355,000","Sen Sok, Phnom Penh",²,²
House,"$145,000","Preaek Aeng, Chbar Ampov, Phnom Penh",²,²
House,"$49,000","Kouk Khleang, Sen Sok, Phnom Penh",²,²
House,"$30,000","Chaom Chau, Por Sen Chey, Phnom Penh",²,²
Shophouse,"$168,000","Por Sen Chey, Phnom Penh",²,²
Shophouse,"$150,000","Por Sen Chey, Phnom Penh",²,²
Shophouse,"$155,000","Nirouth, Chbar Ampov, Phnom Penh",²,²
Shophouse,"$130,000","Nirouth, Chbar Ampov, Phnom Penh",²,²
Villa,"$3,900,000","Nirouth, Chbar Ampov, Phnom Penh",²,²
House,"$86,000","Dangkao, Phnom Penh",²,²
House,"$80,000","Dangkao, Phnom Penh",²,²
House,"$235,000","Dangkao, Phnom Penh",²,²
House,"$97,880","Samraong Kraom, Por Sen Chey, Phnom Penh",²,²
Twin Villa,"$240,000","Phnom Penh Thmey, Sen Sok, Phnom Penh",²,²
Shophouse,"$98,000","Krang Thnong, Sen Sok, Phnom Penh",²,²
House,"$43,800","Por Sen Chey, Phnom Penh",²,²
House,"$179,000","Chrang Chamres I, Russey Keo, Phnom Penh",²,²
House,"$31,980","Phnom Penh, Phnom Penh",²,²
House,"$70,000","Prey Sa, Dangkao, Phnom Penh",²,²
Twin Villa,"$299,999","Chrang Chamres 2, Russey Keo, Phnom Penh",²,²
House,"$59,500","Por Sen Chey, Phnom Penh",²,²
House,"$46,000","Preaek Thmei, Chbar Ampov, Phnom Penh",²,²
House,"$75,500","Russey Keo, Phnom Penh",²,²
House,"$99,000","Por Sen Chey, Phnom Penh",²,²
Villa,"$1,900,000","Toul Kork, Phnom Penh",²,²
House,"$45,000","Chaom Chau, Por Sen Chey, Phnom Penh",²,²
Villa,"$1,399,000","Nirouth, Chbar Ampov, Phnom Penh",²,²
Villa,"$600,000","Khmuonh, Sen Sok, Phnom Penh",²,²
Villa,"$188,000","Chbar Ampov, Phnom Penh",²,²
House,"$195,000","Dangkao, Phnom Penh",²,²
Shophouse,"$350,000","Toul Kork, Phnom Penh",²,²
Shophouse,"$145,000","Dangkao, Phnom Penh",²,²
House,"$265,000","Chak Angrae Kraom, Meanchey, Phnom Penh",²,²
Twin Villa,"$67,000","Chaom Chau, Por Sen Chey, Phnom Penh",²,²
Villa,"$150,000","Chroy Changvar, Phnom Penh",²,²
Shophouse,"$230,000","Krang Thnong, Sen Sok, Phnom Penh",²,²
House,"$50,999","Preaek Pnov, Prek Pnov, Phnom Penh",²,²
House,"$56,880","Krang Thnong, Sen Sok, Phnom Penh",²,²
House,"$160,000","Chak Angrae Kraom, Meanchey, Phnom Penh",²,²
Villa,"$215,000","Dangkao, Phnom Penh",²,²
House,"$199,000","Meanchey, Phnom Penh",²,²
Villa,"$210,000","Russey Keo, Phnom Penh",²,²
Shophouse,"$590,000","Tumnob Tuek, Chamkarmon, Phnom Penh",²,²
House,"$92,000","Chaom Chau, Por Sen Chey, Phnom Penh",²,²
House,"$65,000","Boeung Tumpun, Meanchey, Phnom Penh",²,²
House,"$52,000","Dangkao, Phnom Penh",²,²
House,"$145,000","Chak Angrae Leu, Meanchey, Phnom Penh",²,²
House,"$45,000","Kamboul, Por Sen Chey, Phnom Penh",²,²
Shophouse,"$180,000","Por Sen Chey, Phnom Penh",²,²
House,"$48,000","Chaom Chau, Por Sen Chey, Phnom Penh",²,²
House,"$830,000","Tuek L'ak 3, Toul Kork, Phnom Penh",²,²
House,"$188,000","Tuol Sangke, Russey Keo, Phnom Penh",²,²
Shophouse,"$750,000","Dangkao, Phnom Penh",²,²
House,"$75,000","Kamboul, Por Sen Chey, Phnom Penh",²,²
House,"$65,000","Dangkao, Phnom Penh",²,²
House,"$58,900","Dangkao, Phnom Penh",²,²
House,"$105,333","Tuol Sangke, Russey Keo, Phnom Penh",²,²
Villa,"$148,000","Preaek Lieb, Chroy Changvar, Phnom Penh",²,²
House,"$129,000","Chaom Chau, Por Sen Chey, Phnom Penh",²,²
House,"$36,800","Stueng Mean chey, Meanchey, Phnom Penh",²,²
House,"$100,000","Phleung Chheh Roteh, Por Sen Chey, Phnom Penh",²,²
House,"$55,555","Dangkao, Phnom Penh",²,²
House,"$42,500","Kamboul, Por Sen Chey, Phnom Penh",²,²
Villa,"$1,700,000","Toul Kork, Phnom Penh",²,²
Villa,"$320,000","Chrang Chamres 2, Russey Keo, Phnom Penh",²,²
House,"$59,000","Meanchey, Phnom Penh",²,²
House,"$450,000","Tuek L'ak 1, Toul Kork, Phnom Penh",²,²
Shophouse,"$400,000","Kouk Roka, Prek Pnov, Phnom Penh",²,²
House,"$200,000","Nirouth, Chbar Ampov, Phnom Penh",²,²
House,"$68,000","Krang Thnong, Sen Sok, Phnom Penh",²,²
House,"$210,000","Stueng Mean chey, Meanchey, Phnom Penh",²,²
House,"$165,000","Tuol Sangke, Russey Keo, Phnom Penh",²,²
Shophouse,"$140,000","Nirouth, Chbar Ampov, Phnom Penh",²,²
Shophouse,"$325,000","Kakab 1, Por Sen Chey, Phnom Penh",²,²
House,"$205,000","Ou Baek K'am, Sen Sok, Phnom Penh",²,²
Twin Villa,"$270,000","Phnom Penh Thmey, Sen Sok, Phnom Penh",²,²
House,"$55,000","Por Sen Chey, Phnom Penh",²,²
Twin Villa,"$315,000","Phnom Penh Thmey, Sen Sok, Phnom Penh",²,²
Villa,"$1,380,000","Nirouth, Chbar Ampov, Phnom Penh",²,²
Shophouse,"$68,000","Snaor, Por Sen Chey, Phnom Penh",²,²
House,"$69,995","Pong Tuek, Dangkao, Phnom Penh",²,²
House,"$135,000","Prey Sa, Dangkao, Phnom Penh",²,²
House,"$155,000","Boeung Tumpun, Meanchey, Phnom Penh",²,²
House,"$47,500","Dangkao, Phnom Penh",²,²
House,"$75,000","Dangkao, Phnom Penh",²,²
House,"$850,000","Nirouth, Chbar Ampov, Phnom Penh",²,²
House,"$120,000","Por Sen Chey, Phnom Penh",²,²
House,"$68,000","Krang Thnong, Sen Sok, Phnom Penh",²,²
Twin Villa,"$280,000","Por Sen Chey, Phnom Penh",²,²
Twin Villa,"$398,000","Nirouth, Chbar Ampov, Phnom Penh",²,²
House,"$198,000","Chrang Chamres 2, Russey Keo, Phnom Penh",²,²
House,"$95,000","Sen Sok, Phnom Penh",²,²
Twin Villa,"$299,000","Preaek Lieb, Chroy Changvar, Phnom Penh",²,²
Villa,"$755,000","Chrang Chamres 2, Russey Keo, Phnom Penh",²,²
Shophouse,"$155,000","Stueng Mean chey, Meanchey, Phnom Penh",²,²
Villa,"$850,000","Boeung Tumpun, Meanchey, Phnom Penh",²,²
House,"$270,000","Tuol Sangke, Russey Keo, Phnom Penh",²,²
Twin Villa,"$400,000","Nirouth, Chbar Ampov, Phnom Penh",²,²
Twin Villa,"$245,000","Krang Thnong, Sen Sok, Phnom Penh",²,²
House,"$198,000","Kouk Khleang, Sen Sok, Phnom Penh",²,²
House,"$49,666","Chaom Chau, Por Sen Chey, Phnom Penh",²,²
Twin Villa,"$278,000","Dangkao, Phnom Penh",²,²
Villa,"$329,000","Tuek Thla, Sen Sok, Phnom Penh",²,²
Shophouse,"$200,000","Preaek Lieb, Chroy Changvar, Phnom Penh",²,²
Shophouse,"$275,000","Nirouth, Chbar Ampov, Phnom Penh",²,²
Shophouse,"$285,000","Chak Angrae Kraom, Meanchey, Phnom Penh",²,²
Twin Villa,"$225,000","Preaek Aeng, Chbar Ampov, Phnom Penh",²,²
Villa,"$68,000","Kamboul, Por Sen Chey, Phnom Penh",²,²
House,"$189,800","Kouk Roka, Prek Pnov, Phnom Penh",²,²
House,"$460,000","Khmuonh, Sen Sok, Phnom Penh",²,²
Twin Villa,"$420,000","Chak Angrae Kraom, Meanchey, Phnom Penh",²,²
House,"$450,000","Chey Chumneah, Daun Penh, Phnom Penh",²,²
House,"$57,999","Chaom Chau, Por Sen Chey, Phnom Penh",²,²
Shophouse,"$98,000","Chaom Chau, Por Sen Chey, Phnom Penh",²,²
Shophouse,"$125,000","Stueng Mean chey, Meanchey, Phnom Penh",²,²
Twin Villa,"$245,000","Chaom Chau, Por Sen Chey, Phnom Penh",²,²
Villa,"$245,000","Preaek Aeng, Chbar Ampov, Phnom Penh",²,²
Shophouse,"$455,000","Phsar Thmei II, Daun Penh, Phnom Penh",²,²
House,"$310,000","Ou Baek K'am, Sen Sok, Phnom Penh",²,²
Twin Villa,"$265,000","Nirouth, Chbar Ampov, Phnom Penh",²,²
Twin Villa,"$225,000","Preaek Aeng, Chbar Ampov, Phnom Penh",²,²
Twin Villa,"$265,000","Kilomaetr Lekh Prammuoy, Russey Keo, Phnom Penh",²,²
House,"$88,000","Dangkao, Phnom Penh",²,²
House,"$235,000","Nirouth, Chbar Ampov, Phnom Penh",²,²
Villa,"$185,000","Phnom Penh Thmey, Sen Sok, Phnom Penh",²,²
Shophouse,"$168,000","Chaom Chau, Por Sen Chey, Phnom Penh",²,²
Shophouse,"$280,000"," Chrang Chamres 2, Russey Keo, Phnom Penh",5,5
Link House,"$110,000"," Krang Thnong, Sen Sok, Phnom Penh",2,2
Shophouse,"$280,000"," Veal Vong, 7 Makara, Phnom Penh",1,1
Link House,"$98,000"," Chaom Chau 3, Por Sen Chey, Phnom Penh",3,3
Twin Villa,"$255,000"," Khmuonh, Sen Sok, Phnom Penh",4,4
Shophouse,"$700,000","Phsar Thmei III, Daun Penh, Phnom Penh",4,4
Villa,"$2,360,000"," Boeung Salang, Toul Kork, Phnom Penh",3,3
Shophouse,"$1,120,000","Phsar Chas, Daun Penh, Phnom Penh",8,8
Shophouse,"$110,000"," Chaom Chau 2, Por Sen Chey, Phnom Penh",2,2
Twin Villa,"$350,000"," Nirouth, Chbar Ampov, Phnom Penh",4,4
