,mark,model,year,type,condition,fuel,Transmission,color,price
75,Car Makes:Toyota,Car Model:Prius,Year:2007,Tax Type:Tax Paper,Condition:Used,Body Type:Hatchback,Fuel:Hybrid,Transmission:Auto,"$12,800"
76,Car Makes:Lexus,Car Model:NX,Year:2016,Tax Type:Plate Number,Condition:Used,Body Type:SUV,Fuel:Petrol,Color:White,"$53,000"
77,Car Makes:Toyota,Car Model:Prius,Year:2010,Tax Type:Tax Paper,Condition:Used,Body Type:Other,Fuel:Hybrid,Transmission:Auto,"$21,800"
78,Car Makes:Toyota,Car Model:Prius,Year:2010,Tax Type:Tax Paper,Condition:Used,Body Type:Other,Fuel:Hybrid,Transmission:Auto,"$21,800"
79,Car Makes:Toyota,Car Model:Land Cruiser,Year:2008,Tax Type:Plate Number,Condition:Used,Body Type:SUV,Fuel:Petrol,Transmission:Auto,"$44,800"
80,Car Makes:Lexus,Car Model:CT,Year:2012,Tax Type:Tax Paper,Condition:Used,Body Type:Other,Fuel:Hybrid,Transmission:Auto,"$25,800"
81,Car Makes:Toyota,Car Model:Highlander,Year:2002,Tax Type:Plate Number,Condition:Used,Body Type:SUV,Fuel:Petrol,Transmission:Auto,"$18,600"
82,Car Makes:Land Rover,Car Model:Defender,Year:2020,Tax Type:Plate Number,Condition:Used,Body Type:SUV,Fuel:Petrol,Transmission:Auto,"$139,900"
83,Car Makes:MG,Car Model:GT,Year:2022,Tax Type:Plate Number,Condition:Used,Body Type:Sedan,Fuel:Petrol,Transmission:Auto,"$30,800"
84,Car Makes:Hyundai,Car Model:Truck,Year:2001,Tax Type:Plate Number,Condition:Used,Body Type:Other,Fuel:Diesel,Transmission:Manual,"$12,000"
85,Car Makes:Toyota,Car Model:Tacoma,Year:2008,Tax Type:Tax Paper,Condition:Used,Fuel:Petrol,Transmission:Auto,Color:Black,"$18,800"
86,Car Makes:Lexus,Car Model:RX400h,Year:2006,Tax Type:Tax Paper,Condition:Used,Body Type:SUV,Fuel:Petrol,Transmission:Auto,"$26,000"
87,Car Makes:Mitsubishi,Car Model:Triton,Year:2023,Tax Type:Tax Paper,Condition:New,Body Type:Pickup,Fuel:Diesel,Transmission:Auto,"$49,900"
88,Car Makes:Toyota,Car Model:Corolla,Year:2003,Tax Type:Plate Number,Condition:Used,Body Type:Sedan,Fuel:Petrol,Transmission:Auto,"$8,100"
89,Car Makes:Toyota,Car Model:Prius,Year:2007,Tax Type:Tax Paper,Condition:New,Body Type:Sedan,Fuel:Hybrid,Transmission:Auto,"$12,700.00"
90,Car Makes:Toyota,Car Model:Highlander,Year:2003,Tax Type:Plate Number,Condition:Used,Body Type:SUV,Fuel:Petrol,Transmission:Auto,"$15,300"
91,Car Makes:Toyota,Car Model:RAV4,Year:2002,Tax Type:Plate Number,Condition:Used,Body Type:SUV,Fuel:Petrol,Transmission:Auto,"$12,500"
