Price,Size,Location,Type,Title,Property ID,Original ID,Listed,Updated
39999,2015,Kampot,Land for Sale,Soft Title,9259773,,08-May-23,
37000,200,Kampot,Land for Sale,Soft Title,9279201,,08-May-23,
170000,519,Kampot,Land for Sale,Hard Title,8642504,,08-May-23,
150000,882,Kampot,Land for Sale,Soft Title,9042470,,08-May-23,
165000,99,Kampot,Land for Sale,Soft Title,8951429,,08-May-23,
13000,100,Kandal,Land for Sale,Soft Title,8536943,,08-May-23,
550000,1200,Kampot,Land for Sale,Hard Title,9360466,,08-May-23,
450000,3900,Kampot,Land for Sale,Hard Title,9360459,,08-May-23,
120000,6000,Kampot,Land for Sale,Soft Title,9360414,,08-May-23,
150000,600,Kampot,Land for Sale,Soft Title,9360435,,08-May-23,
450000,3000,Kampot,Land for Sale,Hard Title,9360449,,08-May-23,
950000,855,Phnom Penh,Land for Sale,Hard Title,8196937,,08-May-23,
390000,855,Phnom Penh,Land for Sale,Hard Title,8622957,,08-May-23,
100000,855,Phnom Penh,Land for Sale,Soft Title,8709579,,08-May-23,
3591000,855,Pursat,Land for Sale,Soft Title,9283891,,08-May-23,
186300,41400,Siem Reap,Land for Sale,Hard Title,8307015,,08-May-23,
64170000,41400,Phnom Penh,Land for Sale,Hard Title,9198695,,08-May-23,
13000,180,Kampong Speu,Land for Sale,Soft Title,9161509,,08-May-23,
1700000,17000,Phnom Penh,Land for Sale,Soft Title,7961555,,08-May-23,
1696320,7068,Phnom Penh,Land for Sale,Hard Title,8114163,,08-May-23,
15500,59,Phnom Penh,Land for Sale,Soft Title,9363068,,08-May-23,
130410,483,Kampot,Land for Sale,Soft Title,9294794,,08-May-23,
1250000,346,Phnom Penh,Land for Sale,Hard Title,8061747,,08-May-23,
259900,1130,Siem Reap,Land for Sale,Hard Title,8518452,,08-May-23,
259900,1130,Siem Reap,Land for Sale,Hard Title,8518452,,08-May-23,
282500,1130,Kandal,Land for Sale,Soft Title,8603738,,08-May-23,
169500,1130,Siem Reap,Land for Sale,Hard Title,8924785,,08-May-23,
395500,1130,Siem Reap,Land for Sale,Hard Title,8956592,,08-May-23,
76300,3052,Takeo,Land for Sale,Hard Title,8796512,,08-May-23,
2500000,672,Phnom Penh,Land for Sale,Soft Title,8877688,,08-May-23,
1500000,728,Phnom Penh,Land for Sale,Soft Title,7585290,,08-May-23,
