Price,Price per m2,Location,Type,Title,Property ID,Original ID,Listed,Updated
"30,000",,"Boeung Thum, Por Sen Chey, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",222527,3 months ago,3 months ago
"22,000",,"Trapeang Krasang, Por Sen Chey, Phnom Penh",Land,Soft Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",222522,3 months ago,3 months ago
"150,000",,"Dangkao, Dangkao, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",222455,4 months ago,4 months ago
"57,000",,"Kamboul, Por Sen Chey, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",222452,4 months ago,4 months ago
330,None,"Kouk Roka, Prek Pnov, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",222448,4 months ago,4 months ago
"36,000",,"Kamboul, Por Sen Chey, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",222445,4 months ago,3 months ago
"75,000",,"Khmuonh, Sen Sok, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",222389,4 months ago,4 months ago
230,None,"Preaek Thmei, Chbar Ampov, Phnom Penh",Land/Development,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",222387,4 months ago,4 months ago
"365,000",,"Kakap, Por Sen Chey, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",222384,4 months ago,4 months ago
"155,000",,"Krang Thnong, Sen Sok, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",222315,4 months ago,4 months ago
"950,000",,"Kouk Khleang, Sen Sok, Phnom Penh",Land/Development,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",222309,4 months ago,4 months ago
"105,000",,"Cheung Aek, Dangkao, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",222300,4 months ago,4 months ago
260,None,"Veal Sbov, Chbar Ampov, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",222299,4 months ago,4 months ago
"98,000",,"Spean Thma, Dangkao, Phnom Penh",Land,Soft Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",222265,4 months ago,4 months ago
"1,000,000",,"Phleung Chheh Roteh, Por Sen Chey, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",222264,4 months ago,4 months ago
"1,200",None,"Tuek Thla, Sen Sok, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",222212,4 months ago,4 months ago
"160,000",,"Chaom Chau 2, Por Sen Chey, Phnom Penh",Land/Development,Soft Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",222211,4 months ago,4 months ago
"310,000",,"Kouk Khleang, Sen Sok, Phnom Penh",Land/Development,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",222208,4 months ago,4 months ago
"716,666",,"Phnom Penh Thmey, Sen Sok, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",222152,4 months ago,4 months ago
"5,000",None,"Toul Tum Poung 1, Chamkarmon, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",222149,4 months ago,4 months ago
550,None,"Dangkao, Dangkao, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",222089,4 months ago,4 months ago
"65,000",,"Kouk Roka, Prek Pnov, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",222086,4 months ago,4 months ago
"12,900",,"Kamboul, Por Sen Chey, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",222078,4 months ago,4 months ago
"31,000",,"Kantaok, Por Sen Chey, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",222067,4 months ago,4 months ago
"118,000",,"Kakap, Por Sen Chey, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",222063,4 months ago,4 months ago
"1,100",None,"Chrang Chamres 2, Russey Keo, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",221997,4 months ago,4 months ago
"45,000",,"Khmuonh, Sen Sok, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",221950,4 months ago,4 months ago
"180,000",,"Kantaok, Por Sen Chey, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",221948,4 months ago,4 months ago
"195,000",,"Veal Sbov, Chbar Ampov, Phnom Penh",Land/Development,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",221944,4 months ago,4 months ago
300,None,"Kamboul, Por Sen Chey, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",221939,4 months ago,4 months ago
"40,000",,"Nirouth, Chbar Ampov, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",221885,4 months ago,3 months ago
"35,000",,"Krang Thnong, Sen Sok, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",221882,4 months ago,3 months ago
"1,200",None,"Dangkao, Dangkao, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",221881,4 months ago,3 months ago
150,None,"Kamboul, Por Sen Chey, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",221879,4 months ago,3 months ago
"37,500",,"Ponsang, Prek Pnov, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",221876,4 months ago,3 months ago
"58,000",,"Cheung Aek, Dangkao, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",221841,4 months ago,3 months ago
240,None,"Chaom Chau 2, Por Sen Chey, Phnom Penh",Land,Hard Title,"<a href=""/offices/mls-property-cambodia-mls-6927/"">MLS Property Cambodia</a>",221830,4 months ago,3 months ago
