,Date,Open,High,Low,Close,Adj Close,Volume
109,4/30/2004,"3,849.90","3,849.90","3,836.90","3,836.90","3,836.90",-
110,5/3/2004,"3,846.60","3,846.60","3,846.60","3,846.60","3,846.60",-
111,5/4/2004,"3,847.00","3,847.00","3,847.00","3,847.00","3,847.00",-
112,5/5/2004,"3,849.50","3,849.50","3,849.50","3,849.50","3,849.50",-
113,5/6/2004,"3,857.80","3,857.80","3,857.80","3,857.80","3,857.80",-
114,5/7/2004,"3,848.90","3,848.90","3,848.90","3,848.90","3,848.90",-
115,5/10/2004,"3,844.30","3,844.30","3,844.30","3,844.30","3,844.30",-
116,5/11/2004,"3,843.90","3,843.90","3,843.90","3,843.90","3,843.90",-
117,5/12/2004,"3,845.60","3,845.60","3,845.60","3,845.60","3,845.60",-
118,5/13/2004,"3,845.00","3,845.00","3,845.00","3,845.00","3,845.00",-
119,5/14/2004,"3,844.90","3,844.90","3,844.90","3,844.90","3,844.90",-
120,5/17/2004,"3,851.00","3,851.00","3,851.00","3,851.00","3,851.00",-
121,5/18/2004,"3,848.40","3,848.40","3,848.40","3,848.40","3,848.40",-
122,5/19/2004,"3,848.60","3,848.60","3,848.60","3,848.60","3,848.60",-
123,5/20/2004,-,-,-,-,-,-
124,5/21/2004,"3,848.10","3,850.30","3,848.10","3,850.30","3,850.30",-
125,5/24/2004,"3,845.20","3,845.20","3,845.20","3,845.20","3,845.20",-
126,5/25/2004,"3,846.10","3,846.10","3,846.10","3,846.10","3,846.10",-
127,5/26/2004,"3,847.30","3,847.30","3,847.30","3,847.30","3,847.30",-
128,5/27/2004,"3,849.10","3,849.10","3,849.10","3,849.10","3,849.10",-
129,5/28/2004,"3,851.90","3,851.90","3,851.90","3,851.90","3,851.90",-
130,5/31/2004,-,-,-,-,-,-
131,6/1/2004,"3,851.80","3,851.80","3,851.80","3,851.80","3,851.80",-
132,6/2/2004,"3,851.80","3,851.80","3,851.80","3,851.80","3,851.80",-
133,6/3/2004,"3,850.20","3,850.20","3,850.20","3,850.20","3,850.20",-
134,6/4/2004,"3,851.80","3,851.80","3,851.80","3,851.80","3,851.80",-
135,6/7/2004,"3,854.20","3,854.20","3,854.20","3,854.20","3,854.20",-
136,6/8/2004,"3,851.40","3,870.40","3,851.40","3,870.40","3,870.40",-
137,6/9/2004,"3,849.40","3,854.40","3,849.40","3,854.40","3,854.40",-
138,6/10/2004,"3,852.10","3,854.30","3,852.10","3,854.30","3,854.30",-
139,6/11/2004,"3,864.90","3,864.90","3,846.10","3,846.10","3,846.10",-
140,6/14/2004,"3,857.00","3,857.00","3,847.50","3,847.50","3,847.50",-
141,6/15/2004,"3,828.30","3,848.30","3,828.30","3,848.30","3,848.30",-
142,6/16/2004,"3,848.60","3,848.60","3,848.60","3,848.60","3,848.60",-
143,6/17/2004,"3,848.80","3,848.80","3,848.80","3,848.80","3,848.80",-
144,6/18/2004,"3,868.90","3,868.90","3,847.30","3,847.30","3,847.30",-
